营销名Marketing name,项目代码 、Project No.,机型名 Model,版本号Version NO.,适用范围/Region,链接、link
realme X7 Pro 5G,20660,RMX2121,RMX2121export_11_F.27_2024032518140127.zip,、TH、MY、TW,https://rms01.realme.net/sw/RMX2121export_11_F.27_2024032518140127.zip
realme narzo 30 Pro 5G,20686,RMX2117,RMX2117export_11_C.12_2022041914110169,、SG、ID、TH、PH、MY、VN、BD、PK、IN、MM、LK、EG、RU、TR,https://rms01.realme.net/SW/realme%20service/realme%20narzo%2030%20Pro%205G/20686/RMX2117export_11_C.12_2022041914110169.7z
realme 7 5G,20680,RMX2111,RMX2111GDPR_11_F.04_2022080921130000,、UK、ES、PT、DE、CZ、EU,https://rms01.realme.net/sw/RMX2111GDPR_11_F.04_2022080921130000.zip
realme 7 5G,20680,RMX2111,RMX2111GDPR_11_F.03_2022071123130000,、UK、IT、ES、PT、DE,https://rms01.realme.net/sw/RMX2111GDPR_11_F.03_2022071123130000.zip
realme 7 5G,20680,RMX2111,RMX2111GDPR_11_C.10_2022020913350091,Area:PL、Plus运营商,https://rms01.realme.net/SW/realme%20service/realme%207%205G/20680/RMX2111GDPR_11_C.10_2022020913350091.zip
realme 7 5G,20680,RMX2111,RMX2111GDPR_11_C.09_2022011518240000,、GB、DE、ES、PT、CZ、RU、阿尔及利亚、DZ、BR、GR、蒙古、MN、日本、JP、UA、FR、AT、RO、荷兰、NL、MX、SK、BO 、,https://rms01.realme.net/SW/realme%20service/realme%207%205G/20680/RMX2111GDPR_11_C.09_2022011518240000.zip
realme 7 5G,20680,RMX2111,RMX2111export_11_F.05_2022102523570187,、HK、TW、SG、MX、BR、IL、SA、MY、TH、AU,https://rms01.realme.net/sw/RMX2111export_11_F.05_2022102523570187.zip
realme 7 5G,20680,RMX2111,RMX2111export_11_C.09_2022011518250000,TH、MY、IL、SA、BR、MX、AU、HK、,https://rms01.realme.net/SW/realme%20service/realme%207%205G/20680/RMX2111export_11_C.09_2022011518250000.zip
realme 7i,20677,RMX2103,RMX2103export_11_C.14_2022071108300000,TH,https://rms01.realme.net/sw/RMX2103export_11_C.14_2022071108300000.zip
realme 7i,20675,RMX2103,RMX2103export_11_C.14_2022071108130349,"MX,CO,BR",https://rms01.realme.net/sw/RMX2103export_11_C.14_2022071108130349.zip
realme 7i,20674,RMX2103,RMX2103export_11_C.14_2022071108030358,"IL,IQ,UZ,SA,MA,KE,EG,AE,DZ,VN,MY,KH,PH",https://rms01.realme.net/sw/RMX2103export_11_C.14_2022071108030358.zip
realme 7i,20673,RMX2103,RMX2103export_11_C.14_2022071106010858,"IN,NP,MM,BD,PK,ID",https://rms01.realme.net/sw/RMX2103export_11_C.14_2022071106010858.zip
realme 7i,20675,RMX2103,RMX2103export_11_C.13_2022042711470000,、BR、MX,https://rms01.realme.net/SW/realme%20service/realme%207i/20675/RMX2103export_11_C.13_2022042711470000.7z
realme 7i,20674,RMX2103,RMX2103export_11_C.13_2022042711450220,、IL、MY、VN、KE、EG、SA、、DZ、MA、PH、KH、AE、KZ,https://rms01.realme.net/SW/realme%20service/realme%207i/20674/RMX2103export_11_C.13_2022042711450220.7z
realme 7i,20673,RMX2103,RMX2103export_11_C.13_2022042711420000,、BD、NP、MM、IN、ID、PK,https://rms01.realme.net/SW/realme%20service/realme%207i/20673/RMX2103export_11_C.13_2022042711420000.7z
realme 7i,2067D,RMX2103,RMX2103export_11_C.07_2021072911310000,、VN,https://rms01.realme.net/sw/RMX2103export_11_C.07_2021072911310000.zip
realme C17,20671,RMX2101,RMX2101export_11_C.14_2022072211320000,"NP,MM,BD,PK,ID",https://rms01.realme.net/sw/RMX2101export_11_C.14_2022072211320000.zip
realme C17,20670,RMX2101,RMX2101export_11_C.13_2022042811290233,、SG、MY、VN、EG、KH,https://rms01.realme.net/SW/realme%20service/realme%20C17/20670/RMX2101export_11_C.13_2022042811290233.7z
realme C17,20676,RMX2101,RMX2101export_11_C.13_2022042711500000,、TH,https://rms01.realme.net/SW/realme%20service/realme%20C17/20676/RMX2101export_11_C.13_2022042711500000.7z
realme X3 SuperZoom,19711,RMX2086,RMX2086GDPR_11_F.06_2022101321340000,、UK、IT、ES、FR、DE、PL、BE、 NO、NO、荷兰、NL、SK、丹麦、DN、芬兰、FI、LU,https://rms01.realme.net/sw/RMX2086GDPR_11_F.06_2022101321340000.zip
realme X3 SuperZoom,19711,RMX2086,RMX2086GDPR_11_C.13_2022051901570000,"、UK,、IT,、ES,、FR,、DE,、PL,、BE, NO、NO,荷兰、NL,、SK,丹麦、DN,芬兰、FI,、LU、ID,、TH,、MY,、VN,、PH,、PK,、IL,、AU,、IO,、SR,、BY",https://rms01.realme.net/SW/realme%20service/realme%20X3%20SuperZoom/19711/RMX2086GDPR_11_C.13_2022051901570000.7z
realme X3 SuperZoom,19711,RMX2086,RMX2086export_11_F.06_2022101321330154,、PK、AU、IQ、IL、BY、RS,https://rms01.realme.net/sw/RMX2086export_11_F.06_2022101321330154.zip
realme X3 SuperZoom,19711,RMX2086,RMX2086export_11_C.13_2022051901560000,"、UK,、IT,、ES,、FR,、DE,、PL,、BE, NO、NO,荷兰、NL,、SK,丹麦、DN,芬兰、FI,、LU、ID,、TH,、MY,、VN,、PH,、PK,、IL,、AU,、IO,、SR,、BY",https://rms01.realme.net/SW/realme%20service/realme%20X3%20SuperZoom/19711/RMX2086export_11_C.13_2022051901560000.7z
realme X3 SuperZoom,19711,RMX2086,RMX2086export_11_C.11_2022011318290000,、ID、TH、PH、MY、VN、PK、IRO、AU、IS、AE、RU、BO,https://rms01.realme.net/SW/realme%20service/realme%20X3%20SuperZoom/19711/RMX2086export_11_C.11_2022011318290000.zip
realme X3 SuperZoom,19710,RMX2085,RMX2085export_11_C.13_2022051901550466,、IN,https://rms01.realme.net/SW/realme%20service/realme%20X3%20SuperZoom/19710/RMX2085export_11_C.13_2022051901550466.7z
realme X3,19698,RMX2083,RMX2083export_11_C.11_2022011318240000,、TW,https://rms01.realme.net/SW/realme%20service/realme%20X3/19698/RMX2083export_11_C.11_2022011318240000.zip
realme X3,19698,RMX2083,RMX2083export_11_C.07_2021062302310250,、UK、ES、FR、IT、DE、PL、BE、 NO、NO、荷兰、NL、丹麦、DN、芬兰、FIN、LUX、SVN,https://rms01.realme.net/sw/RMX2083export_11_C.07_2021062302310250.zip
realme X3,19696,RMX2081,RMX2081export_11_C.11_2022011318230171,IN,https://rms01.realme.net/SW/realme%20service/realme%20X3/19696/RMX2081export_11_C.11_2022011318230171.zip
realme X50 Pro 5G,19706,RMX2076,RMX2076export_11_F.17_2024011917040000.zip,IN,https://rms01.realme.net/sw/RMX2076export_11_F.17_2024011917040000.zip
realme X50 Pro 5G,19705,RMX2075,RMX2075GDPR_11_F.17_2024011917020106.zip,EU,https://rms01.realme.net/sw/RMX2075GDPR_11_F.17_2024011917020106.zip
realme X50 Pro 5G,19705,RMX2075,RMX2075export_11_F.17_2024011917030000.zip,TW、NP、MM、HK、IL、SG、LA、TH、ID、PH、MY、KH、SA,https://rms01.realme.net/sw/RMX2075export_11_F.17_2024011917030000.zip
realme X50 Pro 5G,19705,RMX2075,RMX2075export_11_F.14_2023081609420000.zip,TW,https://rms01.realme.net/sw/RMX2075export_11_F.14_2023081609420000.zip
realme 6 Pro,19726,RMX2063,RMX2063GDPR_11_C.21_2021121403010308,EU,https://rms01.realme.net/sw/RMX2063GDPR_11_C.21_2021121403010308.zip
realme 6 Pro,19726,RMX2063,RMX2063export_11_C.21_2021121403050000,"SG,、MX,、CO,、RU",https://rms01.realme.net/sw/RMX2063export_11_C.21_2021121403050000.zip
realme 6 Pro,19721,RMX2061,RMX2061GDPR_11_C.21_2021121403030000,TR,https://rms01.realme.net/sw/RMX2061GDPR_11_C.21_2021121403030000.zip
realme 6 Pro,19720,RMX2061,RMX2061export_11_C.23_2022041419530000,"BD,、PK,、IN,、NP,、MM,、LK,、TH,、ID",https://rms01.realme.net/SW/realme%20service/realme%206%20Pro/19720/RMX2061export_11_C.23_2022041419530000.zip
realme 6 Pro,19721,RMX2061,RMX2061export_11_C.21_2021121403020000,"PH,、MY,、VN,、KH,、IS,、SA,、IRO,、EG,、AE",https://rms01.realme.net/sw/RMX2061export_11_C.21_2021121403020000.zip
realme narzo 20A,20667,RMX2050,RMX2050export_11_C.10_2022082720400121,IN,https://rms01.realme.net/sw/RMX2050export_11_C.10_2022082720400121.zip
realme 6i,19678,RMX2042,RMX2042export_11_C.12_2022010713560000,VN,https://rms01.realme.net/SW/realme%20service/realme%206i/19678/RMX2042export_11_C.12_2022010713560000.zip
realme 6i,19746,RMX2040,RMX2040GDPR_11_C.12_2022010713570000,TR,https://rms01.realme.net/SW/realme%20service/realme%206i/19746/RMX2040GDPR_11_C.12_2022010713570000.zip
realme 6i,19748,RMX2040,RMX2040GDPR_11_C.12_2022010713530110,"、GRC,、HR,、BG,、PT,、BE,、LUX,、UK,、FR,、UA,、SR,、BA,、BY、EU",https://rms01.realme.net 、/SW/realme%20service/realme%206i/19748/RMX2040GDPR_11_C.12_2022010713530110.zip
realme 6i,19746,RMX2040,RMX2040export_11_C.12_2022010713580000,、PH、EG、AE、MY、SG、KH、MA、SA、IQ、UZ,、https://rms01.realme.net/SW/realme%20service/realme%206i/19746/RMX2040export_11_C.12_2022010713580000.zip
realme 6i,19748,RMX2040,RMX2040export_11_C.12_2022010713550000,"、RU,、KZ,、CO",https://rms01.realme.net/SW/realme%20service/realme%206i/19748/RMX2040export_11_C.12_2022010713550000.zip
realme 6i&Narzo 10,19747,RMX2040,RMX2040export_11_C.12_2022010713540000,、IN、ID、TH、PK、BD、NP、MM、,https://rms01.realme.net/SW/realme%20service/realme%206i/19747/RMX2040export_11_C.12_2022010713540000.zip
realme narzo 10A/realme C3,19749,RMX2027,RMX2027export_11_C.09_2022010714020000,IN、,https://rms01.realme.net/SW/realme%20service/realme%20C3/19749/RMX2027export_11_C.09_2022010714020000.zip
realme narzo 10A/realme C3,19741,RMX2020,RMX2020export_11_C.10_2022010714000000,IN、,https://rms01.realme.net/SW/realme%20service/realme%20C3/19741/RMX2020export_11_C.10_2022010714000000.zip
realme C3 /C3i,19741,RMX2020,RMX2020EU_11_A.70_220516_3707dcd8,、UK、CZ、FR、HR、BG、PT、LU、BE、TR、UA、GR、EU,https://rms01.realme.net/SW/realme%20service/realme%20C3%263i/19741/RMX2020EU_11_A.70_220516_3707dcd8.7z
realme C3 /C3i,19741,RMX2020,RMX2020_11_A.77_220516_455e048c,、SG、TW、ID、TH、PH、MY、VN、KH、BD、PK、IN、NP、MM、BA、RU、KZ、SR、BY、UZ、IS、AE、SA、EG、MA、KE、IQ、CO,https://rms01.realme.net/SW/realme%20service/realme%20C3%263i/19741/RMX2020_11_A.77_220516_455e048c.7z
realme 6,19666,RMX2003,RMX2003export_11_C.18_2022031723460000,、VN,https://rms01.realme.net/SW/realme%20service/realme%206/19666/RMX2003export_11_C.18_2022031723460000.zip
realme 6S,19665,RMX2002,RMX2002GDPR_11_C.19_2022050521440000,"、GRC,、HUN,、SVN,、BA,、ES,、UK,、FR,、IT,、DE,、PL,、SR,、PT,、RO,、SK,、BG,、HR,、AUT,、CZ,、MK",https://rms01.realme.net/SW/realme%20service/realme%206S/19665/RMX2002GDPR_11_C.19_2022050521440000.7z
realme 6S,19665,RMX2002,RMX2002export_11_C.19_2022050521450000,、RU,https://rms01.realme.net/SW/realme%20service/realme%206S/19665/RMX2002export_11_C.19_2022050521450000.7z
realme 6S,19663,RMX2002,RMX2002export_11_C.19_2022050521330000,"、IN,、ID",https://rms01.realme.net/SW/realme%20service/realme%206i%26Narzo%2010/19663/RMX2002export_11_C.19_2022050521330000.7z
realme 6,19668,RMX2001,RMX2001GDPR_11_C.18_2022031723500000,、TR,https://rms01.realme.net/SW/realme%20service/realme%206/19668/RMX2001GDPR_11_C.18_2022031723500000.zip
realme 6,19662,RMX2001,RMX2001GDPR_11_C.18_2022031723450139,"	、GRC,、SVN,、BA,、UA,、ES,、UK,、FR,、IT,、DE,、PL,、AUT,、PT,、RO,、SK,、BG,、HR,、SR,、CZ,、MK,、BY	、",https://rms01.realme.net/SW/realme%20service/realme%206/19662/RMX2001GDPR_11_C.18_2022031723450139.zip
realme 6,19662,RMX2001,RMX2001export_11_C.18_2022031723530000,"	、TW,、RU,、KZ,、CO,、AU,、IS	、",https://rms01.realme.net/SW/realme%20service/realme%206/19662/RMX2001export_11_C.18_2022031723530000.zip
realme 6,19661,RMX2001,RMX2001export_11_C.18_2022031723520000,、ID、PK、BD、NP、MM、IN、TH,https://rms01.realme.net/SW/realme%20service/realme%206/19661/RMX2001export_11_C.18_2022031723520000.zip
realme 6,19668,RMX2001,RMX2001export_11_C.18_2022031723480000,、KH、SG、VN、PH、UZ、MY、SA、MA、KE、AE、IRO、EG、,https://rms01.realme.net/SW/realme%20service/realme%206/19668/RMX2001export_11_C.18_2022031723480000.zip
realme X2,19672,RMX1993,RMX1993EX_11.F.26_1260_202112140000,、UK、FR、IT、ES、CZ,https://rms01.realme.net/sw/RMX1993_11_F.26_2021121400000939.zip
realme X2,19671/19654,RMX1992,RMX1992EX_11.F.26_1260_202112221532,IN,https://rms01.realme.net/sw/RMX1992_11_F.26_2021122215321367.zip
realme X2,19654、19671,RMX1992,RMX1992_11_F.25_2021100900002557,IN,https://rms01.realme.net/sw/RMX1992_11_F.25_2021100900002557.zip
realme 5 Pro,19691Q,RMX1971,RMX1971EX_11_C.15_210713_64c2cc03,、SG、TW、ID、TH、IN、PK、PH、MY、MM、UK、ES、IT、FR、RU、AE、EG、AU、SA、	ZA、ZAF、TR、KH、IRO、BY、CZ、UA、SR、SK、HR、BG、CY、HUN、GRC,https://rms01.realme.net/sw/RMX1971EX_11_C.15_210713_64c2cc03.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.06_2022050519044833,SA,https://rms01.realme.net/SW/realme%20service/realme%205%20Pro/19692/RMX1971_11_F.06_2022050519044833.7z
realme 5 Pro,19692,RMX1971,RMX1971_11_F.06_2022050514483171,TR,https://rms01.realme.net/SW/realme%20service/realme%205%20Pro/19692/RMX1971_11_F.06_2022050514483171.7z
realme 5 Pro,19691,RMX1971,RMX1971_11_F.06_2022050514471924,ID,https://rms01.realme.net/SW/realme%20service/realme%205%20Pro/19691/RMX1971_11_F.06_2022050514471924.7z
realme 5 Pro,19691,RMX1971,RMX1971_11_F.06_2022050514460512,IN,https://rms01.realme.net/SW/realme%20service/realme%205%20Pro/19691/RMX1971_11_F.06_2022050514460512.7z
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021101410261191,RU,https://rms01.realme.net/sw/RMX1971_11_F.03_2021101410261191.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021092611455064,"AE,、IQ",https://rms01.realme.net/sw/RMX1971_11_F.03_2021092611455064.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021092519575351,、UA,https://rms01.realme.net/sw/RMX1971_11_F.03_2021092519575351.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021092519501882,、SG,https://rms01.realme.net/sw/RMX1971_11_F.03_2021092519501882.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021092519465330,、EG,https://rms01.realme.net/SW/realme%20service/realme%205%20Pro/RMX1971_11_F.03_2021092519465330.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021092519424119,、PH,https://rms01.realme.net/sw/RMX1971_11_F.03_2021092519424119.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021092519404521,、MY,https://rms01.realme.net/sw/RMX1971_11_F.03_2021092519404521.zip
realme 5 Pro,19691,RMX1971,RMX1971_11_F.03_2021092322424500,、MM,https://rms01.realme.net/sw/RMX1971_11_F.03_2021092322424500.zip
realme 5 Pro,19691,RMX1971,RMX1971_11_F.03_2021092322402662,、PK,https://rms01.realme.net/sw/RMX1971_11_F.03_2021092322402662.zip
realme 5 Pro,19692,RMX1971,RMX1971_11_F.03_2021092322380787,TH,https://rms01.realme.net/sw/RMX1971_11_F.03_2021092322380787.zip
realme C2,19621/19622/19623/19625/19626/19627,RMX1941/RMX1942/RMX1943/RMX1945/RMX1946,RMX1941EX_11_C.57_210531_331d08f0,、SG、ID、TH、PH、MY、VN、KH、BD、PK、IN、NP、MM、LK、AE、SA、EG、MA、IRO、AU、RU、TR、BY,https://rms01.realme.net/SW/realme%20service/realme%20C2/501881RMX1941EX_11_C.57_210531_331d08f0.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817443736,EU,https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817443736.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817443435.zip,TH,https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817443435.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817443142,SA,https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817443142.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817442835,RU,https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817442835.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817442538,IN,https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817442538.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817442236,ID,https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817442236.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817441935,"AE,IRO、IQ",https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817441935.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_F.14_2021102817441635,MY,https://rms01.realme.net/sw/RMX1931_11_F.14_2021102817441635.zip
realme X2 Pro,19688,RMX1931,RMX1931_11_A.06_191031_82b47332.zip,IN,https://rms01.realme.net/sw/RMX1931_11_A.06_191031_82b47332.zip
realme XT,19651Q,RMX1921EX,RMX1921EX_11_C.14_210724_70f25bdd,ID、TH、IN、PK、NP、MM、PH、VN、BD、MY、EG、MA、AU、IRO、TR,https://rms01.realme.net/sw/RMX1921EX_11_C.14_210724_70f25bdd.zip
realme XT,19655/19653,RMX1921EUEX,RMX1921EUEX_11_C.14_210724_2661303e,TW、SG、FR、IT、ES、MX、CO、RU、BY、UA,https://rms01.realme.net/sw/RMX1921EUEX_11_C.14_210724_2661303e.zip
realme XT,19653,RMX1921,RMX1921_11_F.06_2022050514580036,MX,https://rms01.realme.net/SW/realme%20service/realme%20XT/19653/RMX1921_11_F.06_2022050514580036.zip
realme XT,19652,RMX1921,RMX1921_11_F.06_2022050514544351,TR,https://rms01.realme.net/SW/realme%20service/realme%20XT/19652/RMX1921_11_F.06_2022050514544351.zip
realme XT,19651,RMX1921EX,RMX1921_11_F.06_2022050514531879,ID,https://rms01.realme.net/SW/realme%20service/realme%20XT/19651/RMX1921_11_F.06_2022050514531879.zip
realme XT,19651,RMX1921,RMX1921_11_F.06_2022050514524516,IN,https://rms01.realme.net/SW/realme%20service/realme%20XT/19651/RMX1921_11_F.06_2022050514524516.zip
realme XT,19655,RMX1921,RMX1921 11 F.03 210925,BY,https://rms01.realme.net/sw/RMX1921_11_F.03_2021092519140384.zip
realme 5/5S/5i,19631/19641/19632/19647/19648/19630/19642/19743/19744/19675/19676,RMX1911/RMX1919/RMX1927/RMX1929/RMX2030/RMX2031/ RMX2032,RMX1911EX_11_C.79_220121_d8a54518,、SG、TW、ID、TH、PH、MY、VN、KH、PK、IN、NP、MM、AE、EG、MA、IQ、AU、RU、BY，、BD,https://rms01.realme.net/SW/realme%20service/realme%205i/19631/RMX1911EX_11_C.79_220121_d8a54518.zip
realme 5/5i,19631/19744,RMX1911/RMX2030,RMX1911EU_11_C.72_220121_bb1c9236,、UK、FR、IT、ES、TR、PL,https://rms01.realme.net/SW/realme%20service/realme%205i/19631/RMX1911EU_11_C.72_220121_bb1c9236.zip
realme X,19609,RMX1903,RMX1903_11_F.05_2021101311573411,、ID,https://rms01.realme.net/SW/realme%20service/realme%20X/503902RMX1903_11_F.05_2021101311573411.zip
realme X,19605,RMX1901EX,RMX1901_11_F.04_2021090823251543,IN,https://rms01.realme.net/sw/RMX1901_11_F.04_2021090823251543.zip
realme 3 Pro,18621Q/18623Q/18633Q,RMX1851EX,RMX1851EX_11_C.18_210724_c4e7dff9,、ID、BD、PK、IN、NP、MM、LK、TH、PH、MY、VN、AE、EG、RU、TW、SG、UK、FR、ES、IT,https://rms01.realme.net/sw/RMX1851EX_11_C.18_210724_c4e7dff9.zip
realme 3 Pro,18621,RMX1851EX,RMX1851_11_F.06_2022030414234589,、ID,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18621/RMX1851_11_F.06_2022030414234589.zip
realme 3 Pro,18633,RMX1851EX,RMX1851_11_F.06_2022030211051712,、SG,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18633/RMX1851_11_F.06_2022030211051712.zip
realme 3 Pro,18633,RMX1851EX,RMX1851_11_F.06_2022030211051412,、TW,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18633/RMX1851_11_F.06_2022030211051412.zip
realme 3 Pro,18633,RMX1851EX,RMX1851_11_F.06_2022030211051112,"、UK,、FR,、IT,、ES",https://rms01.realme.net/SW/realme%20service/realme%203Pro/18633/RMX1851_11_F.06_2022030211051112.zip
realme 3 Pro,18623,RMX1851EX,RMX1851_11_F.06_2022030210030393,、,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18623/RMX1851_11_F.06_2022030210030393.zip
realme 3 Pro,18623,RMX1851EX,RMX1851_11_F.06_2022030210030093,MY,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18623/RMX1851_11_F.06_2022030210030093.zip
realme 3 Pro,18623,RMX1851EX,RMX1851_11_F.06_2022030210025793,PH,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18623/RMX1851_11_F.06_2022030210025793.zip
realme 3 Pro,18623,RMX1851EX,RMX1851_11_F.06_2022030210025493,VN,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18623/RMX1851_11_F.06_2022030210025493.zip
realme 3 Pro,18623,RMX1851EX,RMX1851_11_F.06_2022030210024592,RU,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18623/RMX1851_11_F.06_2022030210024592.zip
realme 3 Pro,18621,RMX1851EX,RMX1851_11_F.06_2022030210010503,、TH,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18621/RMX1851_11_F.06_2022030210010503.zip
realme 3 Pro,18621,RMX1851EX,RMX1851_11_F.06_2022030210005903,、BD,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18621/RMX1851_11_F.06_2022030210005903.zip
realme 3 Pro,18621,RMX1851EX,RMX1851_11_F.06_2022030210005603,、MM,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18621/RMX1851_11_F.06_2022030210005603.zip
realme 3 Pro,18621,RMX1851EX,RMX1851_11_F.06_2022030210005303,、NP,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18621/RMX1851_11_F.06_2022030210005303.zip
realme 3 Pro,18621,RMX1851EX,RMX1851_11_F.06_2022030210005002,、PK,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18621/RMX1851_11_F.06_2022030210005002.zip
realme 3 Pro,18621,RMX1851EX,RMX1851_11_F.06_2022030210004702,IN、,https://rms01.realme.net/SW/realme%20service/realme%203Pro/18621/RMX1851_11_F.06_2022030210004702.zip
realme 3 Pro,18633,RMX1851EX,RMX1851_11_F.05_2021092321540477,"、UK,、FR,、IT,、ES",https://rms01.realme.net/sw/RMX1851_11_F.05_2021092321540477.zip
realme U1,18611/18615,RMX1831/RMX1833,RMX1831EX_11_C.24_211102_0dcf8bd2,、ID、IN、MM,https://rms01.realme.net/SW/realme%20service/realme%20U1/504117RMX1831EX_11_C.24_211102_0dcf8bd2.zip
realme 3/3i,18601/18602/18603/18605/18607,RMX1821/RMX1822/RMX1825/RMX1827,RMX1821EX_11_C.22_210727_2e3b1ada,、SG、TW、ID、TH、PH、MY、VN、BD、PK、IN、NP、MM、UA、RU、EG，、VN，、IN,https://rms01.realme.net/sw/RMX1821EX_11_C.22_210727_2e3b1ada.zip
realme 2/C1,18348/18347/18355/18339/18340/18341/18368,RMX1805/RMX1809/RMX1811,RMX1805EX_11.A.71_0710_202011200855,、ID、TH、PH、MY、VN、BD、PK、IN、NP、MM、LK、AE、卡塔尔、QA、巴林、BH、阿曼、OM、SA、EG、SG,https://rms01.realme.net/sw/RMX1805EX_11_A.71_201120_568ab934.zip
realme 2 Pro,18321,RMX1801EX/RMX1803/RMX1807,RMX1801EX_11_F.12_201016_73cccea3.zip,、IN、ID、TH、MY、VN、EG、SG、BD、PK、MM、NP,https://rms01.realme.net/sw/RMX1801EX_11_F.12_201016_73cccea3.zip
realme Pad 2 Lite,24695,RMP2402,RMP2402export_11_14.1.0.1002EX01_2025052112460186.zip,"IN,PH,MY",https://rms01.realme.net/sw/RMP2402export_11_14.1.0.1002EX01_2025052112460186.zip
realme Pad 2(WIFI),23664,RMP2205,RMP2205GDPR_11_14.1.0.810EX01_2025040716590000.zip,"IT,PL,ES",https://rms01.realme.net/sw/RMP2205GDPR_11_14.1.0.810EX01_2025040716590000.zip
realme Pad 2(WIFI),23664,RMP2205,RMP2205export_11_14.1.0.810EX01_2025040716580136.zip,"IN,ID,MX",https://rms01.realme.net/sw/RMP2205export_11_14.1.0.810EX01_2025040716580136.zip
realme Pad 2（LTE）,23662,RMP2204,RMP2204export_11_14.1.0.810EX01_2025040816490144.zip,"RU,IN,PH,MY",https://rms01.realme.net/sw/RMP2204export_11_14.1.0.810EX01_2025040816490144.zip
realme Pad X,2174A,RMP2108,RMP2108export_11_A.30_2024052821480082.zip,SG、IN、MA、JO、IQ、PH、MY、ID、UA,https://rms01.realme.net/sw/RMP2108export_11_A.30_2024052821480082.zip
realme Pad X,21746,RMP2107,RMP2107export_11_A.20_2023022118150152,IN/PH/MY,https://rms01.realme.net/sw/RMP2107export_11_A.20_2023022118150152.zip
realme Pad(WiFi),21698,RMP2103,RMP2103_11_A.05_220126_b677139d.zip,ID、TH、MY、PH、SG、EG、KEUkraine、RU、TR,https://rms01.realme.net/SW/realme%20service/realme%20Pad%20LTE/21698/RMP2103_11_A.05_220126_b677139d.zip
realme Pad mini,2172D~2172E,RMP2106,REALME_UMS9230T_11.0_2172E_user_202212221748,EU,https://rms01.realme.net/sw/REALME_UMS9230T_11.0_2172E_user_202212221748.zip
realme Pad mini,	2172E,RMP2106,REALME_UMS9230T_11.0_2172D_user_202309251624.zip,"IN,SG,RU,MX,PE,CO,ID,TH,MY,PH",https://rms01.realme.net/sw/REALME_UMS9230T_11.0_2172D_user_202309251624.zip
realme Pad mini,2172D~2172E,RMP2106&RMP2105,REALME_UMS9230T_11.0_2172D_user_202306011756.zip,"IN,SG,RU,MX,PE,CO,ID,TH,MY,PH,EG",https://rms01.realme.net/sw/REALME_UMS9230T_11.0_2172D_user_202306011756.zip
realme Pad mini,2172D~2172E,RMP2105,REALME_UMS9230T_11.0_2172D_user_202212221732,EU,https://rms01.realme.net/sw/REALME_UMS9230T_11.0_2172D_user_202212221732.zip
realme Pad(WiFi),21698,RMP2103,MT8786_11.0_WLAN_202307191645_user.zip,EU,https://rms01.realme.net/sw/MT8786_11.0_WLAN_202307191645_user.zip
realme Pad(WiFi),21698,RMP2103,MT8786_11.0_WLAN_202307191439_user.zip,"IQ,IN,UA,MY,PH,SG,TH,ID",https://rms01.realme.net/sw/MT8786_11.0_WLAN_202307191439_user.zip
realme Pad(LTE),21697,RMP2102,MT8786_11.0_202306271613_user.zip,EU,https://rms01.realme.net/sw/MT8786_11.0_202306271613_user.zip
