营销名Marketing name,项目代码 、Project No.,机型名 Model,版本号Version NO.,适用范围/Region,链接、link
realme C25s,2167A,RMX3195,RMX3195export_11_F.25_2025020611020147.zip,MM、BD、PK,https://rms01.realme.net/sw/RMX3195export_11_F.25_2025020611020147.zip
realme C25s,2167C,RMX3195,RMX3195export_11_F.24_2024102813000199.zip,RU,https://rms01.realme.net/sw/RMX3195export_11_F.24_2024102813000199.zip
realme C25,20762,RMX3191,RMX3191GDPR_11_F.19_2024062420210000.zip,TR,https://rms01.realme.net/sw/RMX3191GDPR_11_F.19_2024062420210000.zip
realme C25,20761,RMX3191,RMX3191export_11_F.20_2025020616250000.zip,MM、BD、PK、LK,https://rms01.realme.net/sw/RMX3191export_11_F.20_2025020616250000.zip
realme C25,20762,RMX3191,RMX3191export_11_F.20_2025020616240147.zip,TH,https://rms01.realme.net/sw/RMX3191export_11_F.20_2025020616240147.zip
realme C25,20764,RMX3191,RMX3191export_11_F.19_2024062420220000.zip,RU、KZ,https://rms01.realme.net/sw/RMX3191export_11_F.19_2024062420220000.zip
realme C25,20762,RMX3191,RMX3191export_11_F.19_2024062420200096.zip,EG、BR、SG、TH、AE、VN、PH、SA,https://rms01.realme.net/sw/RMX3191export_11_F.19_2024062420200096.zip
realme narzo 30A,2073C,RMX3171,RMX3171GDPR_11_C.13_2023022811170153,IT、ES、DE、BE、NL、CZ、PT、PL、GR、AT、BG、BA、HR、RO、HU、EU,https://rms01.realme.net/sw/RMX3171GDPR_11_C.13_2023022811170153.zip
realme narzo 30A,2073C,RMX3171,RMX3171export_11_C.13_2023022811190000,TW、MY、VN、PH、TH,https://rms01.realme.net/sw/RMX3171export_11_C.13_2023022811190000.zip
realme narzo 30A,2073B,RMX3171,RMX3171export_11_C.13_2023022811180000,IN、LK、BD、PK、ID,https://rms01.realme.net/sw/RMX3171export_11_C.13_2023022811180000.zip
realme 8i,21692,RMX3151,RMX3151GDPR_11_F.15_2024070914470078.zip,EU,https://rms01.realme.net/sw/RMX3151GDPR_11_F.15_2024070914470078.zip
