Model,Support,Variantes,,
Galaxy Tab A 101 2016,Yes,"SM-T580, SM-T585, SM-T585C, SM-T585N0, SM-T587, SM-T587P",,
Galaxy Tab A 101 Plus 2016,Yes,"SM-P580, SM-P585, SM-P585M, SM-P585N0, SM-P585Y, SM-P587",,
Galaxy Tab A 101 w SPen,Yes,"SM-P583, SM-P588C",,
Galaxy Tab A 8 2017,Yes,"SM-T380C, SM-T385C",,
Galaxy Tab E 80,Yes,SM-T378V,,
Galaxy View2,Yes,SM-T927A,,
Galaxy A3 2016,Yes,SC-04J,,
Galaxy A3 2017,Yes,"SM-A320F, SM-A320FL, SM-A320Y",,
Galaxy A5 2017,Yes,"SM-A520F, SM-A520K, SM-A520L, SM-A520S, SM-A520W",,
Galaxy A7 2017,Yes,SM-A720F,,
Galaxy A8 2016,Yes,"SM-A810F, SM-A810YZ, SM-A810S",,
Galaxy A9 Pro 2016,Yes,"SM-A9100, SM-A910F",,
Galaxy C5,Yes,SM-C5000,,
Galaxy C5 Pro,Yes,"SM-C5010, SM-C5018",,
Galaxy C7,Yes,SM-C7000,,
Galaxy C7 Pro,Yes,"SM-C7010, SM-C7018, SM-C701F",,
Galaxy C9 Pro,Yes,"SM-C9000, SM-C9008, SM-C900F, SM-C900Y",,
Galaxy J3 Top,Yes,"SM-J337AZ, SM-J336AZ, SM-J337T",,
Galaxy On5 2016,Yes,"SM-G570F, SM-G570M, SM-G570Y",,
Galaxy On7 2016,Yes,SM-G6100,,
Galaxy S7,Yes,"SM-G930F, SM-G930FD, SM-G930K, SM-G930L, SM-G930S, SM-G9300, SM-G9308, SM-G930A, SM-G930AZ, SM-G930P, SM-G930R4, SM-G930R6, SM-G930R7, SM-G930T, SM-G930T1, SM-G930V, SM-G930VL, SM-G930W8, SM-G930U",,
Galaxy S7 Active,Yes,SM-G891A,,
Galaxy S7 Edge,Yes,"SM-G935F, SM-G935K, SM-G935L, SM-G935S, SM-G9350, SM-G935A, SM-G935P, SM-G935R4, SM-G935T, SM-G935U, SM-G935V, SM-G935VC, SM-G935W8, SM-G935FD",,
Galaxy Tab A 101 2016,Yes,SM-T583,,
Galaxy Tab4 7,Yes,SM-T230NZ,,
Samsung Galaxy J5 Prime 2016,Yes,SM-G5700,,
Galaxy A5 2015,Yes,SM-A5100,,
Galaxy A5 2016,Yes,SM-A5108,,
Galaxy A7 2016,Yes,"SM-A7100, SM-A7108",,
Galaxy Folder 2,Yes,SM-G1650,,
Galaxy J2 2018,Yes,"SM-J250F, SM-J250G, SM-J250M, SM-J250Y",,
Galaxy J3 2016,Yes,"SM-J320A, SM-J320AZ, SM-J320V, SM-J320W8",,
Galaxy J5 2016,Yes,"SM-J510F, SM-J510FN, SM-J510FQ, SM-J510GN, SM-J510H, SM-J510L, SM-J510MN, SM-J510S",,
Galaxy On7 2015,Yes,SM-G600S,,
Galaxy A3 2016,Yes,"SM-A310F, SM-A310M, SM-A310N0, SM-A310Y",,
Galaxy A5 2016,Yes,"SM-A510F, SM-A510FD, SM-A510M, SM-A510Y",,
Galaxy A7 2016,Yes,"SM-A710F, SM-A710FD, SM-A710K, SM-A710L, SM-A710M, SM-A710S",,
Galaxy J7 2015,Yes,"SM-J700P, SM-J700T1, SM-J700T",,
Galaxy On7 2016,Yes,SM-G610Y,,
Galaxy S5 Neo,Yes,SM-G903W,,
Galaxy Tab A 8 w SPen,Yes,"SM-P355, SM-P355M",,
Galaxy Tab A 80,Yes,"SM-T355, SM-T355Y, SM-T350",,
Galaxy Tab A 97,Yes,"SM-T555, SM-T550",,
Galaxy Tab A 97 w SPen,Yes,"SM-P555, SM-P555M, SM-P550",,
Galaxy Tab A Plus 97,Yes,SM-P555S,,
Galaxy Tab Active2,Yes,SM-T395C,,
Galaxy Tab E 80,Yes,"SM-T377A, SM-T377P, SM-T377R4, SM-T377T, SM-T377V, SM-T377W",,
Galaxy Tab E 96,Yes,"SM-T560NU, SM-T567V",,
Galaxy J3 Pop,Yes,"SM-J326AZ, SM-J327AZ, SM-J327T, SM-J327T1, SM-S337TL",,
Galaxy Note5,Yes,"SM-N9200, SM-N9208, SM-N920A, SM-N920C, SM-N920CD, SM-N920G, SM-N920I, SM-N920K, SM-N920L, SM-N920P, SM-N920S, SM-N920V, SM-N920W8, SM-N920T, SM-N920R4",,
Galaxy S6,Yes,"SM-G920AZ, SM-G9200, SM-G9208, SM-G920A, SM-G920F, SM-G920FD, SM-G920FQ, SM-G920I, SM-G920P, SM-G920T, SM-G920V, SM-G920W8, SM-G920S, SM-G920R4, SM-G9209",,
Galaxy S6 Active,Yes,SM-G890A,,
Galaxy S6 edge,Yes,"SM-G9250, SM-G925A, SM-G925F, SM-G925FQ, SM-G925I, SM-G925T, SM-G925V, SM-G925W8, SM-G925S",,
Galaxy S6 edge,Yes,"SM-G9280, SM-G9287, SM-G9287C, SM-G928A, SM-G928C, SM-G928F, SM-G928G, SM-G928I, SM-G928W8, SM-G928T, SM-G928V",,
Galaxy Tab S2 80,Yes,"SM-T710, SM-T713, SM-T715, SM-T715C, SM-T715Y, SM-T719, SM-T719C, SM-T719Y",,
Galaxy Tab S2 97,Yes,"SM-T810, SM-T813, SM-T815, SM-T815C, SM-T815N0, SM-T815Y, SM-T817, SM-T817A, SM-T817P, SM-T817R4, SM-T817T, SM-T817V, SM-T817W, SM-T818, SM-T818A, SM-T818V, SM-T818W, SM-T819, SM-T819C, SM-T819Y, SM-T818T",,
G9298,Yes,SM-G9298,,
Galaxy Grand Prime Plus,Yes,"SM-G532F, SM-G532G, SM-G532M, SM-G532MT",,
Galaxy Haechi,Yes,SM-G888N0,,
Galaxy J3 Pop,Yes,"SM-J327P, SM-S327VL",,
Galaxy J7 Pop,Yes,SM-S727VL,,
W2017,Yes,SM-W2017,,
Galaxy A3 2015,Yes,SM-A300FU,,
Galaxy A5 2015,Yes,"SM-A500F, SM-A500FQ, SM-A500FU, SM-A500H, SM-A500HQ, SM-A500M, SM-A500Y, SM-A500G",,
Galaxy A7 2015,Yes,"SM-A7000, SM-A700F, SM-A700FD, SM-A700FQ, SM-A7009, SM-A700H",,
Galaxy A7 2016,Yes,SM-A710Y,,
Galaxy A8 2015,Yes,"SM-A8000, SM-A800F, SM-A800I",,
Galaxy A9 2016,Yes,SM-A9000,,
Galaxy Folder 2 Dual SIM,Yes,"SM-G1600, SM-G160N, SM-G165N",,
Galaxy J1 2016,Yes,"SM-J120A, SM-J120AZ, SM-J120W, SM-S120VL",,
Galaxy J3 2016,Yes,"SM-J320N0, SM-J320R4, SM-J320VPP, SM-S320VL",,
Galaxy J5 2015,Yes,"SM-J500G, SM-J500F, SM-J500FN, SM-J500H, SM-J500Y, SM-J500M",,
Galaxy J5 2016,Yes,"SM-J5108, SM-J510UN",,
Galaxy J7 2015,Yes,"SM-J700H, SM-J700M, SM-J700F",,
Galaxy J7 2016,Yes,"SM-J7108, SM-J7109",,
Galaxy Note Edge,Yes,"SM-N9150, SM-N915F, SM-N915FY, SM-N915G, SM-N915T",,
Galaxy Note4,Yes,"SM-N9100, SM-N910C, SM-N910CQ, SM-N910F, SM-N910G, SM-N910H, SM-N910U, SM-N910V, SM-N910T3, SM-N910T, SM-N910A",,
Galaxy On5 2015,Yes,"SM-G550T1, SM-S550TL",,
Galaxy On7 2015,Yes,"SM-G600F, SM-G600FY",,
Galaxy S5,Yes,"SM-G900A, SM-G900F, SM-G900FQ, SM-G900H, SM-G900I, SM-G900M, SM-G900MD, SM-G900V, SM-G901F, SM-S903VL, SM-G900P, SM-G900T, SM-G9008W, SM-G9009D, SM-G9009W",,
Galaxy S5 Active,Yes,SM-G870A,,
Galaxy S5 Mini,Yes,"SM-G800F, SM-G800H, SM-G800HQ, SM-G800M, SM-G800Y",,
Galaxy S5 Neo,Yes,"SM-G903F, SM-G903M",,
Galaxy S6,Yes,SM-S907VL,,
Galaxy Tab A 8 w SPen,Yes,"SM-P350, SM-P355C, SM-P355Y",,
Galaxy Tab A 80,Yes,SM-T355C,,
Galaxy Tab A 97,Yes,SM-T555C,,
Galaxy Tab E 80,Yes,"SM-T375L, SM-T375S, SM-T378K, SM-T378L, SM-T378S",,
Galaxy Tab S 105,Yes,SM-T805Y,,
Galaxy Tab S 105,Yes,"SM-T800, SM-T805, SM-T805C, SM-T805M, SM-T807, SM-T807P, SM-T807V",,
Galaxy Tab S 84,Yes,"SM-T700, SM-T705, SM-T705C, SM-T705M, SM-T705Y, SM-T707A, SM-T707V",,
Galaxy Tab4 101,Yes,SM-T536,,
Galaxy Tab4 7,Yes,SM-T230NW,,
Galaxy XCover3,Yes,SM-G389F,,
Galaxy J1 2016,Yes,"SM-J120F, SM-J120FN, SM-J120G, SM-J120M, SM-J120ZN",,
Galaxy J3 2016,Yes,"SM-J320Y, SM-J320ZN, SM-J320P, SM-J3109",,
Galaxy J3 Pro,Yes,"SM-J3110, SM-J3119, SM-J3119S",,
Galaxy Tab3 Lite,Yes,SM-T116IR,,
Galaxy View,Yes,"SM-T670, SM-T677V",,
Galaxy Tab Active,Yes,"SM-T360, SM-T365, SM-T365F0, SM-T365M, SM-T365Y",,
W2016,Yes,SM-W2016,,
G9198,Yes,SM-G9198,,
Galaxy E7,Yes,"SM-E700F, SM-E700H, SM-E700M",,
Galaxy J2 2015,Yes,"SM-J200BT, SM-J200F, SM-J200G, SM-J200GU, SM-J200M, SM-J200Y",,
Galaxy Note 101 2014 Edition,Yes,"SM-P600, SM-P601, SM-P605, SM-P605V, SM-P605M",,
Galaxy Note Pro 122,Yes,"SM-P905V, SM-P907A",,
Galaxy Note3 Neo,Yes,"SM-N750, SM-N7505",,
Galaxy Tab E 80,Yes,SM-T3777,,
Galaxy Tab Pro 122,Yes,"SM-T900, SM-T905",,
Galaxy Tab4 101,Yes,SM-T530,,
Galaxy Tab4 7,Yes,"SM-T235, SM-T237P",,
Galaxy XCover3,Yes,SM-G388F,,
Galaxy A5 2015,Yes,SM-A5000,,
Galaxy A7 2015,Yes,SM-A700YD,,
Galaxy Core Prime,Yes,"SM-G360G, SM-G361F",,
Galaxy E5,Yes,"SM-E500H, SM-E500HQ, SM-E500M",,
Galaxy Folder LTE,Yes,SM-G150N0,,
Galaxy Grand Prime,Yes,"SM-G530BT, SM-G530FQ, SM-G530FZ, SM-G530H, SM-G530M, SM-G530W, SM-G531F, SM-G531M",,
Galaxy J5 2015,Yes,"SM-J500N0, SM-J5008",,
Galaxy J7 2015,Yes,SM-J7008,,
Galaxy Tab A 97 w SPen,Yes,SM-P555Y,,
Galaxy Tab4 101,Yes,"SM-T530NU, SM-T531, SM-T532, SM-T535, SM-T533",,
Galaxy Tab4 80,Yes,"SM-T330, SM-T330NU, SM-T331, SM-T332, SM-T335, SM-T337A, SM-T337T, SM-T337V",,
Galaxy A01 Core,No,"SM-A013F, SM-A013G, SM-M013F, SM-A013M",,
Galaxy A03 Core,No,"SM-A032M, SM-A032F",,
Galaxy A2 Core,No,"SM-A260G, SM-A260F",,
Galaxy J2 Core,No,"SM-J260M, SM-J260Y, SM-J260G, SM-J260F, SM-J260GU, SM-J260MU, SM-J260FU",,
Galaxy J4 Core,No,"SM-J410G, SM-J410F",,
Galaxy Watch 42mm,Yes,"SM-R815F, SM-R810, SM-R815N, SM-R815U, SM-R815W",,
Galaxy Watch 46mm,Yes,"SM-R8050, SM-R805F, SM-R800, SM-R805N, SM-R805U, SM-R805W",,
Galaxy Watch Active,Yes,SM-R500,,
Galaxy Watch Active2 40mm,Yes,"SM-R830S, SM-R830, SM-R835US, SM-R835FS, SM-R835F",,
Galaxy Watch Active2 44mm,Yes,"SM-R820, SM-R820S, SM-R825US, SM-R825FS, SM-R825F",,
Galaxy Watch3 41mm,Yes,"SM-R855U, SM-R855N, SM-R855F, SM-R850",,
Galaxy Watch3 45mm,Yes,"SM-R845U, SM-R840T, SM-R845N, SM-R8450, SM-R845F, SM-R840",,
Gear S3 Classic,Yes,"SM-R775A, SM-R775S, SM-R775T, SM-R770",,
Gear S3 Frontier,Yes,"SM-R765, SM-R765A, SM-R765T, SM-R760, SM-R765F, SM-R765N",,
Gear Sport,Yes,SM-R600,,
Gear S3 Classic,Yes,SM-R775V,,
Gear S3 Frontier,Yes,SM-R765V,,
Gear S2,Yes,"SM-R720, SM-R730A, SM-R730S, SM-R730V, SM-R730T",,
Gear S2 Classic,Yes,"SM-R732, SM-R735, SM-R735A, SM-R735V, SM-R735S",,
