Model,Firmware Version,Link
OPPO Reno12 Pro 5G,CPH2629export_11_14.1.0.302EX01_2024072501260105,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/16/e9a4dc1cf7de43ab90f155604c7c7559.zip
OPPO Reno12 Pro 5G,CPH2629export_11_14.1.0.213EX01_2024070518140110,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/22/a3a7503ea51545aeb3bc114d981f5e50.zip
OPPO Reno12 5G,CPH2625export_11_14.1.0.300EX01_2024072507560000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/18/cec68c946eaa4cc7aba8648847e72301.zip
OPPO Reno12 5G,CPH2625export_11_14.1.0.210EX01_2024070520300118,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/09/c28964d2f85642cfa544f52e560fefe9.zip
OPPO Reno11 Pro 5G,CPH2607export_11_14.0.0.608EX01_2024080616500121,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/26/2104b9fd6ca04a19b342de41680db850.zip
OPPO Reno11 Pro 5G,CPH2607export_11_14.0.0.607EX01_2024070914550080,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/25/922c4f9b7ba248ee8a0b63eaa633c805.zip
OPPO Reno11 5G,CPH2599export_11_14.0.0.701EX01_2024081008360087,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/28/0c3128f276a04ed29392c305e6a12312.zip
OPPO Reno11 5G,CPH2599export_11_14.0.0.700EX01_2024062422360115,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/22/ecf49d1d69d94ace8b5f669d3eb3593a.zip
OPPO Reno10 Pro+ 5G,CPH2521export_11_14.0.0.505EX01_2024081912060123,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/30/14a0636f6dfb467abb3317d92c74d612.zip
OPPO Reno10 Pro+ 5G,CPH2521export_11_14.0.0.504EX01_2024071617040099,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/06/baec1d5b8a0746909bc0947490d82d42.zip
OPPO Reno10 Pro 5G,CPH2525export_11_14.0.0.604EX01_2024080915190000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/30/c8d0c8923a3841cea8653e03468f0441.zip
OPPO Reno10 Pro 5G,CPH2525export_11_14.0.0.603EX01_2024071218110124,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/09/414ab00d226a4e3cb769a51bb93c2f09.zip
OPPO Reno10 5G,CPH2531export_11_14.0.0.712EX01_2024080716460109,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/28/da58529ec3034000a5903a703ffa2327.zip
OPPO Reno10 5G,CPH2531export_11_14.0.0.710EX01_2024070218520095,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/03/63e48719c3384ff6ae4d56d16d29a089.zip
OPPO Reno 10x,CPH1919_11_F.48_211217,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/a0d7c2034b704232a8d4d13c48f881b6.zip
OPPO Reno,CPH1917_11_F.53_211122,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/d25bea55dee142a6aeaaf8f16c2db2f6.zip
OPPO F27 Pro+ 5G,CPH2643export_11_14.0.1.730EX01_2024081005440000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/26/025ec7b006fe454e8767ec53f362a8d9.zip
OPPO F27 Pro+ 5G,CPH2643export_11_14.0.1.641EX01_2024071618480110,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/12/e13b0f2013a44bcfa260361606ab6a04.zip
OPPO F27 5G,CPH2637export_11_14.0.1.735EX01_2024080213410000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/ccdb54a9632b4f4aa00b76b47617972e.zip
OPPO F27 5G,CPH2637export_11_14.0.1.733EX01_2024071715360104,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/29/fdba349bbb454e6e983cd98e5f28dff2.zip
OPPO F25 Pro 5G,CPH2603export_11_14.0.1.912EX01_2024082121530000,https://dfs-serverauto-in.allawnofs.com/dfs/24/09/02/c7732130f2574a50b31f69151f05a394.zip
OPPO F25 Pro 5G,CPH2603export_11_14.0.1.740EX01_2024070500330000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/26/76a64a60f0664225837f432ae5f732b5.zip
OPPO Pad Air,OPD2102Aexport_11_C.28_2024082118400115,https://dfs-serverauto-in.allawnofs.com/dfs/24/09/02/d99b39800c284aefa53047014bb8b69d.zip
OPPO Pad Air,OPD2102Aexport_11_C.27_2024061319200090,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/04/7db5f90f019641d79c41f7d05fc9fcbc.zip
加平板 Go,OPD2304export_11_14.0.0.801EX01_2024052822520094,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/21/308eff5c7ec4463fb59776f4d3698ad6.zip
加平板 Go,OPD2304export_11_A.40_2024050910260072,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/07/001526d733234a73b0e62e4336109d63.zip
