Model,Firmware Version,Link
OPPO F11 Pro,CPH1969NV1B_11.F.20_3200_220401,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/7d18eb735d21497fbebef1a5603d501b.zip
OPPO F11,CPH1911NV1B_11.F.20_3200_220401,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/0258da2c80b949808cfdd2f4b49d2d92.zip
OPPO A96,CPH2333export_11_F.71_2024070319510000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/31/5e7017d1d03a43539dcc7696ab98d514.zip
OPPO A96,CPH2373export_11_F.60_2023041016110000,https://dfs-serverauto-in.allawnofs.com/dfs/23/05/03/0a233d12e7074762a3ce2ac979144901.zip
OPPO A76,CPH2375export_11_F.64_2023081023120114,https://dfs-serverauto-in.allawnofs.com/dfs/23/09/08/6dc28020a71b42aa8e96a6f5d50554e8.zip
OPPO A96,CPH2333export_11_F.70_2024050720560000,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/03/d9f4fe9012804cf0abfa9cd06396877e.zip
OPPO A96,CPH2373export_11_F.62_2023060210230000,https://dfs-serverauto-in.allawnofs.com/dfs/23/08/15/a7d28a413f3b40e5b65c2a5cc7e53fc7.zip
OPPO A96,CPH2375export_11_F.60_2023041016130000,https://dfs-serverauto-in.allawnofs.com/dfs/23/05/04/3dc3421709ee4e4aa46f6e61ff0e4cc5.zip
OPPO A9 2020,CPH1937_11_F.17_220903,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/8c6f16f727a94bb1b77a083bba98fcfa.zip
OPPO A9,CPH1938NV1B_11.F.20_3200_220401,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/abb004b4a8a440cda49f332a88196f41.zip
OPPO A83,CPH1729_11_A.34_200708,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/08/897532ac55034c19a1b6f155b369d730.rar
OPPO A83,CPH1827_11_A.34_200709,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/08/37830efe51274b439f791c98a4c71eed.rar
OPPO A79 5G,CPH2553export_11_14.0.0.1100EX01_2024073020170089,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/31/75f9b975d41047f99239f6f27284d52f.zip
OPPO A79 5G,CPH2553export_11_14.0.0.820EX01_2024061123160091,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/26/d4ff760694fb40d9bfe996c049f61eb3.zip
OPPO A78 5G,CPH2495export_11_14.0.0.720EX01_2024062816200101,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/17/27e15e78b7094695b1f4ba9b5768ba0d.zip
OPPO A78 5G,CPH2495export_11_14.0.0.700EX01_2024043021460224,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/10/6222a1e37bb740d29f5d9c82ab1add2c.zip
OPPO A78,CPH256522342export_11_14.0.0.801EX01_2024062410240000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/31/82e46d3f755442398bad8323850933a1.zip
OPPO A78,CPH256522342export_11_14.0.0.603EX01_2024051002260077,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/30/a7a86fe3828247099c36efa6ad8c8790.zip
OPPO A77s,CPH2473export_11_14.0.0.710EX01_2024070914300090,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/02/4da7901d6d2d4cada963b45142a76db1.zip
OPPO A77s,CPH2473export_11_14.0.0.700EX01_2024051018010000,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/19/f1786b02b855480885554439a7fb3181.zip
